number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_learning_rate,state
0,-77.6295454146792,2024-12-29 15:48:06.928594,2024-12-29 15:52:09.604677,0 days 00:04:02.676083,64,40000,0.0016989312048087798,COMPLETE
1,-520.4978183872752,2024-12-29 15:52:09.606652,2024-12-29 15:55:12.307790,0 days 00:03:02.701138,32,10000,0.00028449890445203334,COMPLETE
2,-429.6118735230244,2024-12-29 15:55:12.308791,2024-12-29 15:57:24.227926,0 days 00:02:11.919135,224,20000,0.009340329738339447,COMPLETE
3,-37.30894971466045,2024-12-29 15:57:24.228929,2024-12-29 15:59:35.958889,0 days 00:02:11.729960,160,10000,0.0011911978660597519,COMPLETE
4,-71.70943849443282,2024-12-29 15:59:35.959889,2024-12-29 16:01:46.816383,0 days 00:02:10.856494,64,30000,0.005385002671868011,COMPLETE
5,30.696746651828175,2024-12-29 16:01:46.816383,2024-12-29 16:03:58.064996,0 days 00:02:11.248613,96,90000,0.0016447257484997926,COMPLETE
6,-1550.5354785550592,2024-12-29 16:03:58.065996,2024-12-29 16:06:23.978031,0 days 00:02:25.912035,224,40000,0.00012546840926911423,COMPLETE
7,-175.72907251632347,2024-12-29 16:06:23.978031,2024-12-29 16:08:33.240770,0 days 00:02:09.262739,96,60000,0.0011723895609337409,COMPLETE
8,6.876057170890408,2024-12-29 16:08:33.241771,2024-12-29 16:12:45.800444,0 days 00:04:12.558673,64,20000,4.0149201584176365e-05,COMPLETE
9,116.8085116408914,2024-12-29 16:12:45.801444,2024-12-29 16:17:18.871942,0 days 00:04:33.070498,160,10000,0.0027229074193254113,COMPLETE
10,-766.0353367788482,2024-12-29 16:17:18.873939,2024-12-29 16:21:26.317875,0 days 00:04:07.443936,160,70000,1.2741670341314028e-05,COMPLETE
11,28.139422340709455,2024-12-29 16:21:26.318876,2024-12-29 16:23:33.733415,0 days 00:02:07.414539,128,100000,0.0026830755144203753,COMPLETE
12,97.29763231695938,2024-12-29 16:23:33.734421,2024-12-29 16:25:36.066950,0 days 00:02:02.332529,192,90000,0.0004399459715418145,COMPLETE
13,-791.2777656189882,2024-12-29 16:25:36.067950,2024-12-29 16:27:49.248077,0 days 00:02:13.180127,192,80000,0.0003805223514914587,COMPLETE
14,-87.4092112134348,2024-12-29 16:27:49.249579,2024-12-29 16:30:00.132625,0 days 00:02:10.883046,256,50000,0.00036155533760956336,COMPLETE
15,-702.0644210599783,2024-12-29 16:30:00.132625,2024-12-29 16:32:13.968711,0 days 00:02:13.836086,192,100000,0.00012796854547314807,COMPLETE
16,-757.7547562173795,2024-12-29 16:32:13.969711,2024-12-29 16:34:25.440195,0 days 00:02:11.470484,192,70000,0.004129445607197463,COMPLETE
17,-206.98677872079944,2024-12-29 16:34:25.441193,2024-12-29 16:36:33.968316,0 days 00:02:08.527123,128,60000,0.0005028492148775719,COMPLETE
18,-541.3473954517159,2024-12-29 16:36:33.969316,2024-12-29 16:38:44.104704,0 days 00:02:10.135388,256,80000,0.0007188474684273181,COMPLETE
19,-1058.5156547461497,2024-12-29 16:38:44.105707,2024-12-29 16:41:02.298541,0 days 00:02:18.192834,160,50000,0.00014547328913414628,COMPLETE
